Postal District,78613,78614,78616,78617,78653
10-Jan,334.52,243.41,103.32,326.16,218.38
10-Feb,319.77,628.59,102.86,268,187.07
10-Mar,369.85,668.58,107.61,312.9,201.23
10-Apr,340.87,510.83,110.86,324.5,219.55
10-May,338.11,613.95,171.2,246.16,214.7
10-Jun,414.3,582.73,185.7,246.53,193.13
10-Jul,434.79,499.94,129.33,330.16,229.12
10-Aug,413.42,598.95,2.81,327.55,151
10-Sep,417.83,561.98,0,226.73,220.37
10-Oct,388.77,601.13,103.39,43.55,236.03
10-Nov,326.53,585.48,236.93,0,223.53
10-Dec,339.95,495.06,211.29,0,238.29
11-Jan,306.23,478.6,204.9,0,212.74
11-Feb,295.38,422.77,219.18,0,92.04
11-Mar,305.11,325.17,219.65,220.37,91.48
11-Apr,284.85,316.74,211.47,236.03,92.5
11-May,324.02,153.24,184.1,0,129.81
11-Jun,300.3,311.97,228.03,0,124
11-Jul,325.17,538.11,285.98,547,135.48
11-Aug,316.74,220.37,186.71,784.13,84.23
11-Sep,153.24,236.03,179.03,228.57,184.7
11-Oct,311.97,485.8,215.13,255.11,255.58
11-Nov,538.11,300.4,212.23,266.04,177.13
11-Dec,288.19,484.27,189.52,0,186.77
12-Jan,284.98,435.31,182.03,0,247.23
12-Feb,289.14,488.16,140.24,0.03,202.38
12-Mar,248.83,468.61,65.78,0,244.22
12-Apr,310.87,566.15,174.4,0,270.53
12-May,309.73,505.5,143.03,355.53,275.51
12-Jun,323.91,228.12,191.57,173.49,311.42
12-Jul,380.21,477.91,170.81,450.63,258.74
12-Aug,366.61,468.4,169.58,325.17,157.45
12-Sep,339.38,508.4,162.37,316.74,230.37
12-Oct,343.24,522.57,167.45,153.24,262.77
12-Nov,393.53,444.12,170.74,311.97,280.97
12-Dec,385.81,505.07,173.39,538.11,245.55
13-Jan,426.89,488.58,181.9,255.95,225.45
13-Feb,439.3,522.7,186.5,277.75,213.29
13-Mar,425.48,386.71,189.43,236.39,179.56
13-Apr,429.93,662.15,172.93,257.22,173.78
13-May,365.49,445.06,175.35,264.22,165.25
13-Jun,395.58,300.26,156.33,291.45,147.53
13-Jul,378.78,772.03,157.65,323.07,196.38
13-Aug,432.64,699.75,149.55,306.64,111.38
13-Sep,393.19,1132.36,176.44,228.12,179.04
13-Oct,354.37,1131.37,190.37,144.23,187.2
13-Nov,208.59,672.01,184.18,210.33,223.53
13-Dec,234.61,567.96,176.69,242.19,214.45
14-Jan,172.38,499.18,173.61,237.09,201.8
14-Feb,173.96,521.23,186.24,224.52,185.29
14-Mar,183.62,522.75,179.9,229.84,197.72
14-Apr,152.5,707.89,185.1,243.27,188.13
14-May,153.73,574.76,163.02,274.18,134.26
14-Jun,156.35,435.93,144.06,310.8,206.59
14-Jul,158.75,657,231.56,278.65,148.44
14-Aug,139.21,723.48,192.16,276.85,140.54
14-Sep,172.83,665.16,159.78,246.12,171.64
14-Oct,103.89,651.4,153.41,219.19,156.45
14-Nov,146.34,459.04,150.84,185.91,181.4
14-Dec,168.75,562.38,162,209.44,187.01
15-Jan,173.24,623.07,156.48,241.72,205.22
15-Feb,160.49,390.81,169.26,251.94,161.57
15-Mar,144.92,565.09,174.54,215.85,166.36
15-Apr,136.33,653.28,158.31,228.75,170.27
15-May,159.13,547,176.78,214.03,153.96
15-Jun,1014.42,784.13,142.13,237.5,147.07
15-Jul,681.69,228.57,113.22,303.85,355.53
15-Aug,462.19,255.11,112.56,341.68,173.49
15-Sept,532.95,266.04,143.64,370.14,450.63
15-Oct,733.94,321.82,133.75,329.66,325.17
15-Nov,583.9,250.17,99.78,337.88,316.74
15-Dec,674.13,215.94,99.87,359.11,153.24
